




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5228828 Released 2021-08-18
Analyzed List:	Quadro.intersect.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Quadro.intersect.genes_uniq.txt (6688)	Quadro.intersect.genes_uniq.txt (expected)	Quadro.intersect.genes_uniq.txt (over/under)	Quadro.intersect.genes_uniq.txt (fold Enrichment)	Quadro.intersect.genes_uniq.txt (raw P-value)	Quadro.intersect.genes_uniq.txt (FDR)
regulation of cellular component biogenesis (GO:0044087)	950	393	308.50	+	1.27	4.69E-05	2.64E-03
response to biotic stimulus (GO:0009607)	1418	367	460.48	-	.80	4.66E-05	2.65E-03
skeletal system development (GO:0001501)	478	217	155.23	+	1.40	4.69E-05	2.65E-03
negative regulation of apoptotic process (GO:0043066)	870	364	282.52	+	1.29	4.72E-05	2.65E-03
pattern specification process (GO:0007389)	425	197	138.01	+	1.43	4.79E-05	2.67E-03
heterocycle biosynthetic process (GO:0018130)	809	341	262.71	+	1.30	4.78E-05	2.67E-03
peptidyl-lysine modification (GO:0018205)	276	138	89.63	+	1.54	5.21E-05	2.89E-03
Wnt signaling pathway (GO:0016055)	260	131	84.43	+	1.55	5.40E-05	2.98E-03
cell-cell signaling by wnt (GO:0198738)	260	131	84.43	+	1.55	5.40E-05	2.99E-03
protein phosphorylation (GO:0006468)	683	294	221.80	+	1.33	5.79E-05	3.18E-03
negative regulation of programmed cell death (GO:0043069)	888	369	288.37	+	1.28	6.35E-05	3.48E-03
regulation of transferase activity (GO:0051338)	873	363	283.50	+	1.28	6.45E-05	3.52E-03
cell division (GO:0051301)	499	224	162.04	+	1.38	6.48E-05	3.52E-03
cell-cell signaling (GO:0007267)	1030	420	334.48	+	1.26	6.70E-05	3.63E-03
negative regulation of cell death (GO:0060548)	982	403	318.89	+	1.26	6.90E-05	3.73E-03
covalent chromatin modification (GO:0016569)	362	171	117.56	+	1.45	6.97E-05	3.75E-03
tissue morphogenesis (GO:0048729)	542	240	176.01	+	1.36	7.13E-05	3.83E-03
regulation of cytoskeleton organization (GO:0051493)	531	236	172.44	+	1.37	7.26E-05	3.87E-03
organonitrogen compound biosynthetic process (GO:1901566)	1250	499	405.92	+	1.23	7.25E-05	3.88E-03
microtubule cytoskeleton organization (GO:0000226)	521	232	169.19	+	1.37	7.49E-05	3.98E-03
response to oxygen-containing compound (GO:1901700)	1567	611	508.87	+	1.20	7.86E-05	4.14E-03
negative regulation of protein modification process (GO:0031400)	500	224	162.37	+	1.38	7.84E-05	4.15E-03
cell junction organization (GO:0034330)	477	215	154.90	+	1.39	7.90E-05	4.15E-03
positive regulation of multicellular organismal process (GO:0051240)	1412	556	458.53	+	1.21	7.93E-05	4.16E-03
negative regulation of phosphorylation (GO:0042326)	369	173	119.83	+	1.44	8.08E-05	4.22E-03
leukocyte chemotaxis (GO:0030595)	145	20	47.09	-	.42	8.64E-05	4.49E-03
morphogenesis of an epithelium (GO:0002009)	437	199	141.91	+	1.40	8.70E-05	4.51E-03
positive regulation of cell development (GO:0010720)	298	145	96.77	+	1.50	9.18E-05	4.75E-03
regulation of developmental growth (GO:0048638)	320	153	103.92	+	1.47	1.00E-04	5.16E-03
negative regulation of cell development (GO:0010721)	175	94	56.83	+	1.65	1.13E-04	5.81E-03
histone modification (GO:0016570)	357	167	115.93	+	1.44	1.17E-04	5.97E-03
cell fate commitment (GO:0045165)	238	120	77.29	+	1.55	1.19E-04	6.05E-03
positive regulation of catabolic process (GO:0009896)	494	220	160.42	+	1.37	1.21E-04	6.18E-03
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	42	1	13.64	-	.07	1.25E-04	6.34E-03
positive regulation of neurogenesis (GO:0050769)	224	114	72.74	+	1.57	1.28E-04	6.45E-03
negative regulation of neurogenesis (GO:0050768)	138	78	44.81	+	1.74	1.28E-04	6.47E-03
microtubule-based process (GO:0007017)	765	320	248.43	+	1.29	1.33E-04	6.68E-03
negative regulation of intracellular signal transduction (GO:1902532)	501	222	162.69	+	1.36	1.34E-04	6.70E-03
ameboidal-type cell migration (GO:0001667)	180	96	58.45	+	1.64	1.35E-04	6.71E-03
regulation of locomotion (GO:0040012)	990	402	321.49	+	1.25	1.39E-04	6.93E-03
apoptotic signaling pathway (GO:0097190)	272	133	88.33	+	1.51	1.48E-04	7.32E-03
organic cyclic compound biosynthetic process (GO:1901362)	948	386	307.85	+	1.25	1.52E-04	7.50E-03
mesenchymal cell differentiation (GO:0048762)	162	88	52.61	+	1.67	1.52E-04	7.51E-03
regulation of protein kinase activity (GO:0045859)	631	270	204.91	+	1.32	1.53E-04	7.53E-03
cellular response to DNA damage stimulus (GO:0006974)	720	303	233.81	+	1.30	1.55E-04	7.58E-03
central nervous system neuron differentiation (GO:0021953)	184	97	59.75	+	1.62	1.57E-04	7.61E-03
positive regulation of protein modification process (GO:0031401)	970	394	315.00	+	1.25	1.56E-04	7.61E-03
myeloid leukocyte migration (GO:0097529)	124	16	40.27	-	.40	1.56E-04	7.61E-03
negative regulation of nervous system development (GO:0051961)	143	80	46.44	+	1.72	1.59E-04	7.69E-03
muscle structure development (GO:0061061)	477	212	154.90	+	1.37	1.61E-04	7.74E-03
regulation of canonical Wnt signaling pathway (GO:0060828)	250	124	81.18	+	1.53	1.65E-04	7.95E-03
regulation of binding (GO:0051098)	368	170	119.50	+	1.42	1.74E-04	8.34E-03
regulation of kinase activity (GO:0043549)	752	314	244.20	+	1.29	1.80E-04	8.61E-03
neuron projection guidance (GO:0097485)	228	115	74.04	+	1.55	1.82E-04	8.68E-03
positive regulation of neuron projection development (GO:0010976)	161	87	52.28	+	1.66	1.93E-04	9.18E-03
regulation of trans-synaptic signaling (GO:0099177)	432	194	140.29	+	1.38	2.00E-04	9.45E-03
positive regulation of molecular function (GO:0044093)	1497	580	486.13	+	1.19	2.02E-04	9.54E-03
regulation of synapse structure or activity (GO:0050803)	217	110	70.47	+	1.56	2.14E-04	1.00E-02
response to insulin (GO:0032868)	217	110	70.47	+	1.56	2.14E-04	1.01E-02
cell population proliferation (GO:0008283)	486	214	157.82	+	1.36	2.17E-04	1.01E-02
regulation of synapse organization (GO:0050807)	210	107	68.20	+	1.57	2.21E-04	1.03E-02
axon guidance (GO:0007411)	227	114	73.72	+	1.55	2.25E-04	1.04E-02
regulation of cell motility (GO:2000145)	950	385	308.50	+	1.25	2.24E-04	1.04E-02
cellular response to oxygen-containing compound (GO:1901701)	1043	418	338.70	+	1.23	2.24E-04	1.04E-02
establishment of protein localization (GO:0045184)	1273	500	413.39	+	1.21	2.29E-04	1.06E-02
regulation of cell cycle process (GO:0010564)	628	267	203.94	+	1.31	2.34E-04	1.08E-02
modulation of chemical synaptic transmission (GO:0050804)	431	193	139.96	+	1.38	2.35E-04	1.08E-02
response to peptide (GO:1901652)	450	200	146.13	+	1.37	2.60E-04	1.19E-02
macromolecule biosynthetic process (GO:0009059)	1391	541	451.71	+	1.20	2.62E-04	1.19E-02
intrinsic apoptotic signaling pathway (GO:0097193)	148	81	48.06	+	1.69	2.65E-04	1.20E-02
cellular response to nitrogen compound (GO:1901699)	626	266	203.29	+	1.31	2.66E-04	1.21E-02
cellular macromolecule catabolic process (GO:0044265)	818	336	265.64	+	1.26	2.73E-04	1.23E-02
cell cycle process (GO:0022402)	802	330	260.44	+	1.27	2.75E-04	1.23E-02
negative regulation of transferase activity (GO:0051348)	270	130	87.68	+	1.48	2.74E-04	1.24E-02
defense response to Gram-negative bacterium (GO:0050829)	92	10	29.88	-	.33	2.90E-04	1.30E-02
mRNA metabolic process (GO:0016071)	564	242	183.15	+	1.32	2.95E-04	1.31E-02
sensory system development (GO:0048880)	376	171	122.10	+	1.40	2.94E-04	1.31E-02
regulation of cellular response to stress (GO:0080135)	637	269	206.86	+	1.30	2.98E-04	1.32E-02
eye development (GO:0001654)	366	167	118.85	+	1.41	3.01E-04	1.33E-02
cellular response to organonitrogen compound (GO:0071417)	566	243	183.80	+	1.32	3.00E-04	1.33E-02
negative regulation of neuron differentiation (GO:0045665)	70	46	22.73	+	2.02	3.12E-04	1.37E-02
negative regulation of protein phosphorylation (GO:0001933)	327	152	106.19	+	1.43	3.20E-04	1.40E-02
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	406	182	131.84	+	1.38	3.30E-04	1.44E-02
positive regulation of nervous system development (GO:0051962)	271	130	88.00	+	1.48	3.45E-04	1.51E-02
cellular macromolecule biosynthetic process (GO:0034645)	1368	531	444.24	+	1.20	3.58E-04	1.56E-02
response to peptide hormone (GO:0043434)	367	167	119.18	+	1.40	3.65E-04	1.58E-02
positive regulation of cellular catabolic process (GO:0031331)	425	189	138.01	+	1.37	3.65E-04	1.58E-02
anterior/posterior pattern specification (GO:0009952)	202	102	65.60	+	1.55	3.64E-04	1.58E-02
negative regulation of protein metabolic process (GO:0051248)	1028	410	333.83	+	1.23	3.69E-04	1.59E-02
negative regulation of cellular amide metabolic process (GO:0034249)	188	96	61.05	+	1.57	3.90E-04	1.68E-02
hindbrain development (GO:0030902)	151	81	49.04	+	1.65	3.94E-04	1.69E-02
establishment of localization in cell (GO:0051649)	1618	618	525.43	+	1.18	3.97E-04	1.69E-02
epithelium development (GO:0060429)	962	386	312.40	+	1.24	3.97E-04	1.69E-02
establishment of localization (GO:0051234)	3911	1403	1270.05	+	1.10	4.05E-04	1.72E-02
regulation of cell migration (GO:0030334)	894	361	290.32	+	1.24	4.16E-04	1.76E-02
negative regulation of Wnt signaling pathway (GO:0030178)	168	88	54.56	+	1.61	4.29E-04	1.81E-02
biological process involved in interspecies interaction between organisms (GO:0044419)	1519	409	493.28	-	.83	4.37E-04	1.84E-02
macromolecule catabolic process (GO:0009057)	909	366	295.19	+	1.24	4.59E-04	1.93E-02
visual system development (GO:0150063)	370	167	120.15	+	1.39	4.64E-04	1.94E-02
negative regulation of kinase activity (GO:0033673)	229	112	74.37	+	1.51	4.77E-04	1.99E-02
response to hormone (GO:0009725)	772	316	250.70	+	1.26	4.82E-04	2.01E-02
actin filament-based process (GO:0030029)	599	253	194.52	+	1.30	4.93E-04	2.05E-02
regulation of cellular component size (GO:0032535)	389	174	126.32	+	1.38	5.17E-04	2.14E-02
pallium development (GO:0021543)	173	89	56.18	+	1.58	5.17E-04	2.14E-02
mesenchyme development (GO:0060485)	224	110	72.74	+	1.51	5.24E-04	2.16E-02
cell chemotaxis (GO:0060326)	205	37	66.57	-	.56	5.33E-04	2.19E-02
negative regulation of organelle organization (GO:0010639)	335	153	108.79	+	1.41	5.46E-04	2.24E-02
regulation of cellular protein localization (GO:1903827)	538	230	174.71	+	1.32	5.57E-04	2.28E-02
response to abiotic stimulus (GO:0009628)	1125	442	365.33	+	1.21	5.61E-04	2.29E-02
RNA metabolic process (GO:0016070)	1403	540	455.61	+	1.19	5.64E-04	2.29E-02
protein modification by small protein conjugation or removal (GO:0070647)	849	343	275.70	+	1.24	5.71E-04	2.32E-02
sensory perception of taste (GO:0050909)	68	6	22.08	-	.27	5.77E-04	2.32E-02
granulocyte chemotaxis (GO:0071621)	83	9	26.95	-	.33	5.74E-04	2.32E-02
embryonic organ development (GO:0048568)	433	190	140.61	+	1.35	5.76E-04	2.33E-02
cell killing (GO:0001906)	125	18	40.59	-	.44	5.84E-04	2.35E-02
cellular response to peptide (GO:1901653)	297	138	96.45	+	1.43	5.95E-04	2.39E-02
regulation of neuron apoptotic process (GO:0043523)	211	104	68.52	+	1.52	5.98E-04	2.39E-02
regulation of mitotic cell cycle phase transition (GO:1901990)	277	130	89.95	+	1.45	6.05E-04	2.41E-02
gland development (GO:0048732)	414	183	134.44	+	1.36	6.22E-04	2.47E-02
regulation of anatomical structure size (GO:0090066)	521	223	169.19	+	1.32	6.29E-04	2.50E-02
cell recognition (GO:0008037)	228	43	74.04	-	.58	6.32E-04	2.50E-02
negative regulation of cellular protein metabolic process (GO:0032269)	962	383	312.40	+	1.23	6.38E-04	2.52E-02
cellular response to hormone stimulus (GO:0032870)	484	209	157.17	+	1.33	6.62E-04	2.61E-02
response to acid chemical (GO:0001101)	136	73	44.16	+	1.65	6.73E-04	2.64E-02
cellular response to peptide hormone stimulus (GO:0071375)	234	113	75.99	+	1.49	6.71E-04	2.64E-02
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	306	141	99.37	+	1.42	7.02E-04	2.74E-02
positive regulation of dendrite morphogenesis (GO:0050775)	36	28	11.69	+	2.40	7.11E-04	2.77E-02
regulation of microtubule-based process (GO:0032886)	247	118	80.21	+	1.47	7.27E-04	2.83E-02
rhythmic process (GO:0048511)	267	126	86.71	+	1.45	7.34E-04	2.84E-02
transport (GO:0006810)	3752	1343	1218.42	+	1.10	7.33E-04	2.84E-02
protein transport (GO:0015031)	1183	461	384.17	+	1.20	7.43E-04	2.87E-02
killing of cells of other organism (GO:0031640)	86	10	27.93	-	.36	7.67E-04	2.95E-02
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	36	1	11.69	-	.09	7.78E-04	2.99E-02
negative regulation of protein kinase activity (GO:0006469)	205	101	66.57	+	1.52	8.00E-04	3.07E-02
positive regulation of immune response (GO:0050778)	563	134	182.83	-	.73	8.15E-04	3.11E-02
negative regulation of cell population proliferation (GO:0008285)	704	289	228.62	+	1.26	8.14E-04	3.11E-02
organophosphate biosynthetic process (GO:0090407)	490	210	159.12	+	1.32	8.30E-04	3.15E-02
modification-dependent macromolecule catabolic process (GO:0043632)	547	231	177.63	+	1.30	8.28E-04	3.15E-02
epithelial tube morphogenesis (GO:0060562)	305	140	99.05	+	1.41	8.36E-04	3.17E-02
negative regulation of multicellular organismal process (GO:0051241)	991	392	321.82	+	1.22	8.42E-04	3.18E-02
regulation of neural precursor cell proliferation (GO:2000177)	90	53	29.23	+	1.81	8.45E-04	3.19E-02
negative regulation of translation (GO:0017148)	166	85	53.91	+	1.58	8.66E-04	3.25E-02
camera-type eye development (GO:0043010)	318	145	103.27	+	1.40	8.65E-04	3.25E-02
regulation of microtubule cytoskeleton organization (GO:0070507)	151	79	49.04	+	1.61	8.80E-04	3.28E-02
regulation of system process (GO:0044057)	553	233	179.58	+	1.30	8.78E-04	3.28E-02
ubiquitin-dependent protein catabolic process (GO:0006511)	525	223	170.49	+	1.31	8.90E-04	3.31E-02
protein catabolic process (GO:0030163)	682	280	221.47	+	1.26	8.96E-04	3.33E-02
cardiac ventricle development (GO:0003231)	123	67	39.94	+	1.68	9.08E-04	3.37E-02
cardiac chamber development (GO:0003205)	162	83	52.61	+	1.58	9.81E-04	3.63E-02
modification-dependent protein catabolic process (GO:0019941)	536	226	174.06	+	1.30	9.98E-04	3.68E-02
protein-containing complex subunit organization (GO:0043933)	1337	513	434.18	+	1.18	1.05E-03	3.87E-02
response to endoplasmic reticulum stress (GO:0034976)	217	105	70.47	+	1.49	1.08E-03	3.96E-02
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	102	14	33.12	-	.42	1.10E-03	4.03E-02
response to oxygen levels (GO:0070482)	334	150	108.46	+	1.38	1.12E-03	4.10E-02
negative regulation of neuron projection development (GO:0010977)	136	72	44.16	+	1.63	1.14E-03	4.14E-02
negative regulation of canonical Wnt signaling pathway (GO:0090090)	136	72	44.16	+	1.63	1.14E-03	4.15E-02
positive regulation of immune system process (GO:0002684)	898	231	291.62	-	.79	1.14E-03	4.16E-02
ear development (GO:0043583)	221	106	71.77	+	1.48	1.19E-03	4.30E-02
regulation of cellular amide metabolic process (GO:0034248)	455	195	147.76	+	1.32	1.23E-03	4.43E-02
regulation of axon extension (GO:0030516)	97	55	31.50	+	1.75	1.24E-03	4.48E-02
negative regulation of neuron apoptotic process (GO:0043524)	146	76	47.41	+	1.60	1.25E-03	4.49E-02
positive regulation of B cell activation (GO:0050871)	171	30	55.53	-	.54	1.25E-03	4.49E-02
posttranscriptional regulation of gene expression (GO:0010608)	504	213	163.67	+	1.30	1.31E-03	4.68E-02
proteasomal protein catabolic process (GO:0010498)	344	153	111.71	+	1.37	1.31E-03	4.69E-02
positive regulation of transport (GO:0051050)	909	360	295.19	+	1.22	1.33E-03	4.73E-02
synapse organization (GO:0050808)	289	132	93.85	+	1.41	1.36E-03	4.83E-02
proteolysis involved in cellular protein catabolic process (GO:0051603)	602	249	195.49	+	1.27	1.37E-03	4.85E-02
neuron migration (GO:0001764)	119	64	38.64	+	1.66	1.38E-03	4.88E-02
cellular response to insulin stimulus (GO:0032869)	149	77	48.39	+	1.59	1.38E-03	4.89E-02
negative regulation of microtubule polymerization or depolymerization (GO:0031111)	42	30	13.64	+	2.20	1.40E-03	4.92E-02
